filename,doc_type,year,date,mpsi_hybrid,mpsi_keywords,mpsi_finbert,stance,hawkish_kw_count,dovish_kw_count,neutral_kw_count,word_count
fomc_min_20200128.txt,FOMC Minutes,2020,2020-01-28,-44.58,-52.63,-25.81,Dovish,1,11,7,8540
fomc_st_20200129.txt,FOMC Statements,2020,2020-01-29,-13.58,-20.0,1.41,Dovish,0,1,4,273
fomc_st_20200303.txt,FOMC Statements,2020,2020-03-03,-22.88,-20.0,-29.6,Dovish,0,1,4,86
fomc_min_20200315.txt,FOMC Minutes,2020,2020-03-15,-32.32,-26.09,-46.87,Dovish,5,11,7,9433
fomc_st_20200315.txt,FOMC Statements,2020,2020-03-15,-28.2,-42.86,6.01,Dovish,0,3,4,661
fomc_st_20200323.txt,FOMC Statements,2020,2020-03-23,-33.21,-50.0,5.98,Dovish,0,3,3,553
fomc_min_20200428.txt,FOMC Minutes,2020,2020-04-28,-40.14,-30.0,-63.81,Dovish,3,9,8,8008
fomc_st_20200429.txt,FOMC Statements,2020,2020-04-29,-16.48,-16.67,-16.03,Dovish,0,1,5,384
fomc_min_20200609.txt,FOMC Minutes,2020,2020-06-09,-32.89,-39.13,-18.33,Dovish,3,12,8,8735
fomc_st_20200610.txt,FOMC Statements,2020,2020-06-10,-4.08,-28.57,53.07,Neutral,0,2,5,387
fomc_min_20200728.txt,FOMC Minutes,2020,2020-07-28,-39.3,-33.33,-53.22,Dovish,4,11,6,8107
fomc_st_20200729.txt,FOMC Statements,2020,2020-07-29,-7.44,-28.57,41.88,Neutral,0,2,5,408
fomc_st_20200827.txt,FOMC Statements,2020,2020-08-27,-10.92,-16.67,2.49,Dovish,0,1,5,567
fomc_st_20200916.txt,FOMC Statements,2020,2020-09-16,-20.34,-40.0,25.52,Dovish,0,4,6,547
fomc_min_20200916.txt,FOMC Minutes,2020,2020-09-16,-28.51,-36.36,-10.18,Dovish,3,11,8,8171
fomc_min_20201104.txt,FOMC Minutes,2020,2020-11-04,-30.7,-27.27,-38.69,Dovish,4,10,8,8649
fomc_st_20201105.txt,FOMC Statements,2020,2020-11-05,-13.25,-40.0,49.17,Dovish,0,4,6,415
fomc_min_20201215.txt,FOMC Minutes,2020,2020-12-15,-25.56,-27.27,-21.57,Dovish,4,10,8,7359
fomc_min_20210126.txt,FOMC Minutes,2021,2021-01-26,-18.02,-25.0,-1.73,Dovish,4,9,7,8227
fomc_st_20210127.txt,FOMC Statements,2021,2021-01-27,-12.12,-45.45,65.65,Dovish,0,5,6,442
fomc_min_20210316.txt,FOMC Minutes,2021,2021-03-16,-25.42,-42.11,13.53,Dovish,2,10,7,7880
fomc_st_20210317.txt,FOMC Statements,2021,2021-03-17,-14.35,-45.45,58.23,Dovish,0,5,6,437
fomc_min_20210427.txt,FOMC Minutes,2021,2021-04-27,-28.53,-35.0,-13.42,Dovish,3,10,7,7915
fomc_st_20210428.txt,FOMC Statements,2021,2021-04-28,-13.4,-50.0,72.01,Dovish,0,5,5,433
fomc_min_20210515.txt,FOMC Minutes,2021,2021-05-15,-26.41,-38.1,0.88,Dovish,3,11,7,8643
fomc_st_20210616.txt,FOMC Statements,2021,2021-06-16,-12.85,-50.0,73.83,Dovish,0,5,5,431
fomc_min_20210727.txt,FOMC Minutes,2021,2021-07-27,-26.56,-28.0,-23.2,Dovish,5,12,8,9618
fomc_st_20210728.txt,FOMC Statements,2021,2021-07-28,-14.17,-50.0,69.42,Dovish,0,5,5,445
fomc_min_20210921.txt,FOMC Minutes,2021,2021-09-21,-13.25,-12.0,-16.16,Dovish,7,10,8,8079
fomc_st_20210922.txt,FOMC Statements,2021,2021-09-22,-19.35,-50.0,52.18,Dovish,0,5,5,463
fomc_min_20211102.txt,FOMC Minutes,2021,2021-11-02,-22.3,-18.18,-31.92,Dovish,5,9,8,7606
fomc_st_20211103.txt,FOMC Statements,2021,2021-11-03,-26.37,-54.55,39.37,Dovish,0,6,5,571
fomc_min_20211214.txt,FOMC Minutes,2021,2021-12-14,-1.72,0.0,-5.73,Neutral,9,9,9,8596
fomc_st_20211215.txt,FOMC Statements,2021,2021-12-15,-35.93,-54.55,7.53,Dovish,0,6,5,478
fomc_st_20211216.txt,FOMC Statements,2021,2021-12-16,-15.45,-45.45,54.56,Dovish,0,5,6,440
